title,artist,album,releaseDate,albumCover,spotifyLink,intro,mood,theme,duree,type,tempo,annee
Miss Paramount,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/6Qiu1ICs5jvwRjlTP3EGjt?si=4b63948799fa4441,Courte,Joyeuse,Amour,Standard,Studio,Rythmée,2001-2024
Canary Bay,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/0vTl3595jSsJG6Bw9faK7n?si=5b96de95566741e4,Courte,Joyeuse,Amour,Longue,Studio,Rythmée,2001-2024
Punishment Park,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/3HyGqXiBFJrYvUeFH17Rl7?si=85a1d87dda1b43f0,Courte,Triste,Autre,Standard,Studio,Rythmée,2001-2024
Les Tzars,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/0iTyoyPEouN6SEBY0pb7iY?si=756e306fc56d4fc2,Moyenne,Neutre,Autre,Longue,Studio,Rythmée,2001-2024
Paradize,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/7oJQhuiteid2OdYWcmTZkK?si=5f1ea7cba60548d6,Courte,Joyeuse,Sexe,Longue,Studio,Rythmée,2001-2024
Tes yeux noirs,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/7d2cuXO6Ewaa0cCdEcv1hE?si=266ae8dcf26140e6,Moyenne,Joyeuse,Amour,Longue,Live,Calme,2001-2024
Little Dolls,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/0nqei7J5fMvK2xU9Up9osB?si=5a1455fc07b94a7f,Moyenne,Neutre,Guerre,Longue,Live,Rythmée,2001-2024
3SEX,Indochine & Christine and the Queens,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/5C2J0Hqnt4Xj4rO2i3VZkc?si=0339fac586634837,Longue,Joyeuse,Amour,Longue,Studio,Rythmée,2001-2024
Alice & June,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/60kyUl6vkKrwy1ic5sySYN?si=d993eaddc61040ea,Longue,Neutre,Autre,Longue,Studio,Rythmée,2001-2024
Un été français,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/25bY1HqhfdFkT5gIkkpvnz?si=1e84c7b24d324820,Longue,Joyeuse,Autre,Longue,Studio,Rythmée,2001-2024
Trois nuits par semaine,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/10EDUTGYD3ZgVZqRJqWCeP?si=f7ca89176c4545b3,Longue,Joyeuse,Sexe,Longue,Live,Rythmée,2001-2024
J'ai demandé à la lune,Indochine & La Musique de la Garde Républicaine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/4xZg1o99UY6e5junaaM3m5?si=b63281933a4a4a97,Moyenne,Triste,Autre,Moyenne,Studio,Calme,2001-2024
La vie est belle,Indochine & La Musique de la Garde Républicaine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/4uFvqRTY814mrnQQnP7pMX?si=96b4174105bc450f,Longue,Triste,Amour,Longue,Studio,Calme,2001-2024
College Boy,Indochine & Philippe Jaroussky,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/2X4Tb6bGk3dTvCx2VxFO7h?si=870af47fa03c437f,Longue,Triste,Autre,Longue,Live,Calme,2001-2024
L'aventurier,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/5m6ZsaPx0SKIp3HL70o8gA?si=271c2d388f1c4268,Longue,Joyeuse,Autre,Longue,Live,Rythmée,2001-2024
Karma Girls,Indochine,Central Tour,2023,assets/covers/central.jpg,https://open.spotify.com/track/2pBr5GIkNksQ9imxso7tTt?si=a4e17f78ca914e35,Longue,Neutre,Amour,Longue,Studio,Calme,2001-2024
